Strain,Clade,preserve
India/WB-IICB-049/2020,20A,0
Ukraine/D001/2021,20A,0
Oman/RESP-20-4395/2020,20A,0
Egypt/MASRI-008/2020,20A,0
Egypt/MASRI-005/2020,20A,0
Uruguay/UY-60/2020,20A,0
Uruguay/UY-AT/2020,20A,0
CostaRica/INC-0052/2020,20A,0
Luxembourg/LNS5358505/2020,20A,0
Uganda/UG026/2020,20A,0
Rwanda/NRLNAT2009/2020,20A,0
Rwanda/NRLNAT1007/2020,20A,0
Rwanda/NRLNAT1008/2020,20A,0
Rwanda/NRLNAT2072/2020,20A,0
Rwanda/NRLNAT2025/2020,20A,0
Rwanda/NRLNAT2055/2020,20A,0
Rwanda/NRLNAT2053/2020,20A,0
Rwanda/NRLNAT2064/2020,20A,0
Rwanda/NRLNAT1005/2020,20A,0
Rwanda/NRLNAT1006/2020,20A,0
Rwanda/NRLNAT2052/2020,20A,0
Rwanda/NRLNAT1017/2020,20A,0
Rwanda/NRLNAT1037/2020,20A,0
Rwanda/NRLNAT1026/2020,20A,0
Rwanda/NRLNAT1043/2020,20A,0
Rwanda/NRLNAT1034/2020,20A,0
Rwanda/NRLNAT1045/2020,20A,0
Rwanda/NRLNAT1069/2020,20A,0
Rwanda/NRLNAT1073/2020,20A,0
Rwanda/NRLNAT1074/2020,20A,0
Rwanda/NRLNAT1070/2020,20A,0
Rwanda/NRLNAT1077/2020,20A,0
Rwanda/NRLNAT1068/2020,20A,0
Rwanda/NRLNAT1078/2020,20A,0
Rwanda/NRLNAT1072/2020,20A,0
BosniaandHerzegovina/ChVir7354/2020,20A,0
Kenya/C5288/2020,20A,0
Taiwan/NTU21/2020,20A,0
NewZealand/20CV0488/2020,20A,0
Serbia/Gracanica-043870912/2020,20A,0
Congo/Q001C092A8_2101-TM-r1-006/2020,20A,0
Congo/Q001C095AW_2101-TM-r1-009/2020,20A,0
Netherlands/GE-RIVM-20327/2020,20A,0
Australia/NSW1170/2020,20A,0
Sweden/20-13154/2020,20A,0
Netherlands/UT-RIVM-10131/2021,20A,0
Denmark/DCGC-29504/2021,20A,0
Switzerland/BL-ETHZ-380352/2020,20A,0
SouthKorea/KDCA0356/2020,20A,0
Denmark/DCGC-39694/2021,20A,0
Belgium/ULG-11186/2020,20A,0
Belgium/ULG-10800/2020,20A,0
Belgium/ULG-10861/2020,20A,0
Belgium/ULG-10770/2020,20A,0
Belgium/ULG-11051/2020,20A,0
Belgium/ULG-11011/2020,20A,0
Belgium/ULG-10673/2020,20A,0
Luxembourg/LNS1964098/2020,20A,0
Luxembourg/LNS7658808/2020,20A,0
Luxembourg/LNS1410268/2020,20A,0
Luxembourg/LNS5335802/2021,20A,0
Belgium/Jessa_11-2105-001473/2021,20A,0
Poland/NIPH-NIH-01/2020,20A,0
Netherlands/LI-EMC-265/2020,20A,0
Australia/QLD1458/2020,20A,0
Iceland/3069/2021,20A,0
Poland/2142492351-gx1/2021,20A,0
Germany/NW-HHU-475/2020,20A,0
Norway/4753/2020,20A,0
Germany/ST-MD126/2020,20A,0
Poland/6725616021_diag1_gx1/2020,20A,0
Poland/NIPH-NIH-33/2021,20A,0
Poland/NIPH-NIH-32/2021,20A,0
Ecuador/USFQ-004/2020,20A,0
SouthAfrica/R07601/2020,20A,0
Panama/338674/2020,20A,0
Guadeloupe/IPG-7331/2020,20A,0
Kenya/C3194/2020,20A,0
USA/MO-CDC-LC00002151/2020,20A,0
USA/VA-DCLS-2352/2020,20A,0
Australia/NSW532/2020,20A,0
Kenya/C68332/2020,20A,0
Kenya/C69452/2020,20A,0
Kenya/C65803/2020,20A,0
Kenya/C70546/2020,20A,0
Kenya/C73039/2020,20A,0
Kenya/C75556/2020,20A,0
Kenya/C64707/2020,20A,0
Kenya/C72636/2020,20A,0
Kenya/C74405/2020,20A,0
Kenya/C66213/2020,20A,0
Kenya/C76732/2020,20A,0
Kenya/C71254/2020,20A,0
Kenya/C71410/2020,20A,0
Kenya/C70793/2020,20A,0
NewZealand/20VR3128/2020,20A,0
Canada/MB-NML-620/2020,20A,0
CzechRepublic/IAB_18/2020,20A,0
Ecuador/178620/2020,20A,0
CostaRica/INC-0182/2020,20A,0
CostaRica/INC-0194/2020,20A,0
Kenya/C3129/2020,20A,0
India/AP-CS0341/2020,20A,0
NewZealand/20VR2052/2020,20A,0
DRC/10502/2020,20A,0
Australia/NSW380/2020,20A,0
Thailand/Bangkok-0087/2020,20A,0
Denmark/DCGC-1815/2020,20A,0
Egypt/CUNCI-HGC015/2020,20A,0
Australia/ACT0074/2020,20A,0
CzechRepublic/NRL-6847-2/2020,20A,0
India/WB-IICB-048/2020,20A,0
UnitedArabEmirates/4356/2020,20A,0
Ecuador/178767/2020,20A,0
Egypt/CUNCI-HGC12I036/2021,20A,0
Egypt/CUNCI-HGC11I016/2021,20A,0
Kenya/C31141/2020,20A,0
Kenya/C64798/2020,20A,0
Kenya/C64796/2020,20A,0
Mexico/BCN-ALSR-4899/2020,20A,0
Mexico/AGU-InDRE_195/2020,20A,0
Jordan/MA-ALSR-2583/2020,20A,0
SaudiArabia/KAUST-MADINAH1669/2020,20A,0
Australia/SAP609/2021,20A,0
Australia/SAP610/2021,20A,0
Australia/SAP607/2021,20A,0
Colombia/DC-INS-3334/2020,20A,0
Colombia/GUR-41483/2020,20A,0
Colombia/DC-INS-2624/2020,20A,0
Colombia/ANT-INS-103235/2020,20A,0
Colombia/DC-INS-VG-456/2021,20A,0
Colombia/DC-INS-4283/2020,20A,0
Colombia/DC-INS-2553/2020,20A,0
Colombia/MET-INS-VG-209/2021,20A,0
Colombia/DC-INS-4301/2020,20A,0
Colombia/DC-INS-VG-69/2020,20A,0
Colombia/DC-INS-SPBOG2062/2020,20A,0
Colombia/AMA-INS-VG-634/2021,20A,0
Colombia/AMA-INS-VG-638/2021,20A,0
Mexico/BCN-ALSR-3624/2020,20A,0
Mexico/TLA-InDRE_126/2020,20A,0
USA/CA-CZB-2770/2020,20A,0
USA/NV-CDC-2-3693483/2020,20A,0
USA/WA-UW-32807/2020,20A,0
Mexico/BC-InDRE_134/2020,20A,0
USA/HI-H200581/2020,20A,0
USA/HI-H200449/2020,20A,0
USA/HI-H200631/2020,20A,0
USA/HI-H200633/2020,20A,0
USA/HI-H200673/2020,20A,0
USA/MN-MDH-2393/2021,20A,0
USA/AZ-WL-CVG00115/2020,20A,0
